sample_date,site_code,sweepnet_sample_type,substratum,arthropod_scientific_name,number_of_arthropods,number_immature,number_winged,notes
3/30/2023,E12,plant,Larrea tridentata,Hymenoptera,3,0,3,Creosote#1
3/30/2023,E12,plant,Larrea tridentata,Thysanoptera,21,0,9,Creosote#1
3/30/2023,E12,plant,Larrea tridentata,Trombidiformes,8,0,0,Creosote#1
4/4/2023,U20,plant,Encelia farinosa,Thysanoptera,60,0,60,
4/4/2023,U20,plant,Encelia farinosa,Hemiptera,25,0,14,25 Homoptera
4/4/2023,U20,plant,Encelia farinosa,Lepidoptera,1,1,0,
4/4/2023,U20,plant,Encelia farinosa,Unknown,3,0,0,
4/5/2023,AF14,plant,Larrea tridentata,Coccoidea,1,1,0,
4/5/2023,AF14,plant,Larrea tridentata,Hemiptera,8,1,1,8 Homoptera
4/5/2023,AF14,plant,Larrea tridentata,Heteroptera,1,0,1,
4/5/2023,AF14,plant,Larrea tridentata,Lepidoptera,2,2,0,
4/5/2023,AF14,plant,Larrea tridentata,Trombidiformes,9,0,0,
4/5/2023,AF14,plant,Larrea tridentata,Thysanoptera,109,0,NA,
3/8/2023,W19,plant,Encelia farinosa,Trombidiformes,1,0,0,
3/8/2023,W19,plant,Encelia farinosa,Unknown,1,NA,0,
3/8/2023,W19,plant,Encelia farinosa,Hemiptera,2,0,0,2 Homoptera
3/20/2023,E12,plant,Larrea tridentata,Lepidoptera,5,5,0,Creosote#2
3/20/2023,E12,plant,Larrea tridentata,Hemiptera,3,2,0,creosote#2; 3 Homoptera
3/20/2023,E12,plant,Larrea tridentata,Thysanoptera,23,0,20,Creosote#2
3/20/2023,E12,plant,Larrea tridentata,Trombidiformes,2,0,0,Creosote#2
3/31/2023,E8,plant,Ambrosia deltoidea,Hemiptera,4,1,2,4 Homoptera
3/31/2023,E8,plant,Ambrosia deltoidea,Thysanoptera,37,0,28,
4/5/2023,AF14,plant,Simmondsia chinensis,Thysanoptera,1,0,1,
4/5/2023,AF14,plant,Ambrosia deltoidea,Thysanoptera,9,0,7,
4/5/2023,AF14,plant,Ambrosia deltoidea,Trichoptera,1,0,1,
4/5/2023,AF14,plant,Ambrosia deltoidea,Lepidoptera,1,1,0,
4/5/2023,AF14,plant,Ambrosia deltoidea,Hemiptera,9,0,2,9 Homoptera
4/4/2023,U20,plant,Larrea tridentata,Thysanoptera,7,0,3,
3/29/2023,F12,plant,Parkinsonia florida,Diptera,1,0,1,
3/24/2023,K12,plant,Larrea tridentata,Hemiptera,3,0,3,3 Homoptera
3/24/2023,K12,plant,Larrea tridentata,Thysanoptera,2,0,2,
3/24/2023,K12,plant,Larrea tridentata,Trombidiformes,3,0,0,
5/26/2023,AA17,plant,Nerium oleander,Araneae,1,0,0,
5/26/2023,AA17,plant,Nerium oleander,Thysanoptera,2,0,1,
5/26/2023,AA17,plant,Nerium oleander,Trombidiformes,1,0,0,
3/31/2023,E8,plant,Larrea tridentata,Araneae,2,0,0,
3/31/2023,E8,plant,Larrea tridentata,Lepidoptera,1,1,0,
3/31/2023,E8,plant,Larrea tridentata,Trombidiformes,17,0,0,
3/31/2023,E8,plant,Larrea tridentata,Heteroptera,4,0,2,
3/31/2023,E8,plant,Larrea tridentata,Thysanoptera,17,0,16,
3/31/2023,E8,plant,Larrea tridentata,Unknown,2,NA,0,
